codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80711;PTRQA;Sem Categoria;AVIAO;EMBRAER;EMB-810C;PA34;PISTAO;BIMOTOR;2073;2073;4;1982;BRASIL;BRASIL;AVIAO;ESPECIALIZADA;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;CRUZEIRO;ESPECIALIZADA;NENHUM;0
81077;PRGYA;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;187;0;BRASIL;BRASIL;AVIAO;REGULAR;SANTA GENOVEVA/GOIANIA;GOVERNADOR ANDRE FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
80707;N762AV;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIAO;REGULAR;AEROPUERTO INTERNACIONAL EL DORADO;ANTONIO CARLOS JOBIM / GALEAO;CRUZEIRO;REGULAR;NENHUM;0
80707;N69020;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;GEORGE BUSH INTERCONTINENTAL AIRPORT;CRUZEIRO;REGULAR;NENHUM;0
80705;PTOZA;Sem Categoria;AVIAO;CESSNA AIRCRAFT;208B;C208;TURBOELICE;MONOMOTOR;3969;3969;4;1989;BRASIL;BRASIL;AVIAO;REGULAR;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;Comandante Rolim Adolfo Amaro;CRUZEIRO;REGULAR;NENHUM;0
80704;PRDHL;Sem Categoria;HELICOPTERO;EUROCOPTER FRANCE;EC 130 B4;EC30;TURBOEIXO;MONOMOTOR;2427;2427;7;2008;BRASIL;BRASIL;HELICOPTERO;PARTICULAR;NAO IDENTIFICADO;FORA DE AERODROMO;POUSO;POLICIAL;LEVE;0
80703;PTHQB;Sem Categoria;HELICOPTERO;BELL HELICOPTER;206B;B06;TURBOEIXO;MONOMOTOR;1451;1451;5;1981;BRASIL;BRASIL;HELICOPTERO;TAXI AEREO;FORA DE AERODROMO;CRUZEIRO DO SUL;CRUZEIRO;TAXI AEREO;SUBSTANCIAL;0
81068;PRPRI;Sem Categoria;AVIAO;BEECH AIRCRAFT;58;BE58;PISTAO;BIMOTOR;2449;2449;6;1980;BRASIL;BRASIL;AVIAO;PARTICULAR;SILVIO NAME JUNIOR;CONGONHAS;CORRIDA APOS POUSO;PRIVADA;LEVE;0
80701;PRETO;Sem Categoria;HELICOPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTAO;MONOMOTOR;1134;1134;4;2006;BRASIL;BRASIL;HELICOPTERO;TAXI AEREO;JACAREPAGUA;FORA DE AERODROMO;APROXIMACAO FINAL;TAXI AEREO;LEVE;0
81065;PPGSV;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;56-C;PAUL;PISTAO;MONOMOTOR;660;660;2;1960;BRASIL;BRASIL;AVIAO;INSTRUCAO;AERODROMO ESTADUAL DE CAMPINAS / AMARAIS;AERODROMO ESTADUAL DE CAMPINAS / AMARAIS;CORRIDA APOS POUSO;PRIVADA;LEVE;0
